




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Mus musculus)
Reference List:	mouse_background.txt (Mus musculus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	mouse_background.txt - REFLIST (18060)	upload_1 (4777)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
glutamate receptor clustering (GO:0097688)	6	1	1.59	-	.63	5.29E-01
double-strand break repair via classical nonhomologous end joining (GO:0097680)	6	1	1.59	-	.63	5.29E-01
regulation of SMAD protein complex assembly (GO:0010990)	6	1	1.59	-	.63	5.29E-01
arachidonate transport (GO:1903963)	24	4	6.35	-	.63	2.41E-01
response to sodium arsenite (GO:1903935)	6	1	1.59	-	.63	5.29E-01
bundle of His cell-Purkinje myocyte adhesion involved in cell communication (GO:0086073)	6	1	1.59	-	.63	5.29E-01
taurine transport (GO:0015734)	6	1	1.59	-	.63	5.29E-01
membrane depolarization during cardiac muscle cell action potential (GO:0086012)	12	2	3.17	-	.63	3.85E-01
membrane depolarization during action potential (GO:0086010)	24	4	6.35	-	.63	2.41E-01
regulation of synaptic assembly at neuromuscular junction (GO:0008582)	6	1	1.59	-	.63	5.29E-01
positive regulation of gastro-intestinal system smooth muscle contraction (GO:1904306)	6	1	1.59	-	.63	5.29E-01
regulation of circadian sleep/wake cycle, wakefulness (GO:0010840)	6	1	1.59	-	.63	5.29E-01
histone H4-K20 trimethylation (GO:0034773)	6	1	1.59	-	.63	5.29E-01
vitamin K metabolic process (GO:0042373)	6	1	1.59	-	.63	5.29E-01
synaptic vesicle docking (GO:0016081)	12	2	3.17	-	.63	3.85E-01
rhodopsin mediated signaling pathway (GO:0016056)	6	1	1.59	-	.63	5.29E-01
positive regulation of norepinephrine secretion (GO:0010701)	6	1	1.59	-	.63	5.29E-01
embryonic heart tube left/right pattern formation (GO:0060971)	6	1	1.59	-	.63	5.29E-01
negative regulation of alpha-beta T cell activation (GO:0046636)	42	7	11.11	-	.63	1.36E-01
mature ribosome assembly (GO:0042256)	6	1	1.59	-	.63	5.29E-01
ribosome assembly (GO:0042255)	60	10	15.87	-	.63	8.16E-02
positive regulation of microglial cell migration (GO:1904141)	6	1	1.59	-	.63	5.29E-01
inhibition of cysteine-type endopeptidase activity (GO:0097340)	6	1	1.59	-	.63	5.29E-01
autophagy of peroxisome (GO:0030242)	6	1	1.59	-	.63	5.29E-01
hyaluronan biosynthetic process (GO:0030213)	6	1	1.59	-	.63	5.29E-01
negative regulation of Schwann cell proliferation (GO:0010626)	6	1	1.59	-	.63	5.29E-01
neural plate pattern specification (GO:0060896)	6	1	1.59	-	.63	5.29E-01
arterial endothelial cell differentiation (GO:0060842)	6	1	1.59	-	.63	5.29E-01
smoothened signaling pathway involved in dorsal/ventral neural tube patterning (GO:0060831)	6	1	1.59	-	.63	5.29E-01
neurotransmitter biosynthetic process (GO:0042136)	12	2	3.17	-	.63	3.85E-01
regulation of collagen fibril organization (GO:1904026)	6	1	1.59	-	.63	5.29E-01
positive regulation of gap junction assembly (GO:1903598)	6	1	1.59	-	.63	5.29E-01
noradrenergic neuron differentiation (GO:0003357)	6	1	1.59	-	.63	5.29E-01
regulation of cilium beat frequency (GO:0003356)	12	2	3.17	-	.63	3.85E-01
chorionic trophoblast cell differentiation (GO:0060718)	6	1	1.59	-	.63	5.29E-01
urinary bladder smooth muscle contraction (GO:0014832)	12	2	3.17	-	.63	3.85E-01
postsynaptic density protein 95 clustering (GO:0097119)	6	1	1.59	-	.63	5.29E-01
NMDA glutamate receptor clustering (GO:0097114)	6	1	1.59	-	.63	5.29E-01
release of sequestered calcium ion into cytosol by sarcoplasmic reticulum (GO:0014808)	6	1	1.59	-	.63	5.29E-01
negative regulation of immune response to tumor cell (GO:0002838)	6	1	1.59	-	.63	5.29E-01
negative regulation of response to tumor cell (GO:0002835)	6	1	1.59	-	.63	5.29E-01
reactive oxygen species biosynthetic process (GO:1903409)	12	2	3.17	-	.63	3.85E-01
neutrophil extravasation (GO:0072672)	6	1	1.59	-	.63	5.29E-01
epithelial-mesenchymal cell signaling (GO:0060684)	6	1	1.59	-	.63	5.29E-01
regulation of cardioblast proliferation (GO:0003264)	12	2	3.17	-	.63	3.85E-01
regulation of cholesterol import (GO:0060620)	6	1	1.59	-	.63	5.29E-01
positive regulation of tau-protein kinase activity (GO:1902949)	6	1	1.59	-	.63	5.29E-01
vascular associated smooth muscle cell development (GO:0097084)	12	2	3.17	-	.63	3.85E-01
anterior head development (GO:0097065)	6	1	1.59	-	.63	5.29E-01
immune response-inhibiting signal transduction (GO:0002765)	6	1	1.59	-	.63	5.29E-01
regulation of phospholipid translocation (GO:0061091)	6	1	1.59	-	.63	5.29E-01
nucleoside bisphosphate catabolic process (GO:0033869)	6	1	1.59	-	.63	5.29E-01
hypothalamus gonadotrophin-releasing hormone neuron development (GO:0021888)	6	1	1.59	-	.63	5.29E-01
hypothalamus gonadotrophin-releasing hormone neuron differentiation (GO:0021886)	6	1	1.59	-	.63	5.29E-01
hypothalamus cell migration (GO:0021855)	6	1	1.59	-	.63	5.29E-01
His-Purkinje system development (GO:0003164)	6	1	1.59	-	.63	5.29E-01
negative regulation of glomerular filtration (GO:0003105)	6	1	1.59	-	.63	5.29E-01
cochlea development (GO:0090102)	49	8	12.96	-	.62	1.01E-01
neuromuscular process controlling balance (GO:0050885)	68	11	17.99	-	.61	5.49E-02
negative regulation of interleukin-1 production (GO:0032692)	31	5	8.20	-	.61	1.73E-01
oxidative phosphorylation (GO:0006119)	62	10	16.40	-	.61	6.44E-02
positive regulation of histone acetylation (GO:0035066)	31	5	8.20	-	.61	1.73E-01
system process (GO:0003008)	2538	407	671.32	-	.61	5.30E-32
cellular zinc ion homeostasis (GO:0006882)	25	4	6.61	-	.60	2.11E-01
killing of cells of other organism (GO:0031640)	50	8	13.23	-	.60	8.96E-02
negative regulation of leukocyte mediated immunity (GO:0002704)	69	11	18.25	-	.60	4.87E-02
regulation of humoral immune response (GO:0002920)	44	7	11.64	-	.60	1.06E-01
spinal cord development (GO:0021510)	95	15	25.13	-	.60	2.08E-02
ureter development (GO:0072189)	19	3	5.03	-	.60	2.61E-01
macrophage activation involved in immune response (GO:0002281)	19	3	5.03	-	.60	2.61E-01
anatomical structure regression (GO:0060033)	19	3	5.03	-	.60	2.61E-01
killing by host of symbiont cells (GO:0051873)	19	3	5.03	-	.60	2.61E-01
negative regulation of interleukin-12 production (GO:0032695)	19	3	5.03	-	.60	2.61E-01
negative regulation of interleukin-10 production (GO:0032693)	19	3	5.03	-	.60	2.61E-01
mitotic recombination (GO:0006312)	19	3	5.03	-	.60	2.61E-01
regulation of short-term neuronal synaptic plasticity (GO:0048172)	19	3	5.03	-	.60	2.61E-01
long-chain fatty acid biosynthetic process (GO:0042759)	19	3	5.03	-	.60	2.61E-01
negative regulation of lymphocyte mediated immunity (GO:0002707)	57	9	15.08	-	.60	6.71E-02
male meiotic nuclear division (GO:0007140)	51	8	13.49	-	.59	7.91E-02
homologous chromosome pairing at meiosis (GO:0007129)	45	7	11.90	-	.59	9.36E-02
positive regulation of receptor signaling pathway via STAT (GO:1904894)	58	9	15.34	-	.59	5.92E-02
regulation of systemic arterial blood pressure by renin-angiotensin (GO:0003081)	26	4	6.88	-	.58	1.84E-01
cellular defense response (GO:0006968)	13	2	3.44	-	.58	3.32E-01
leukotriene biosynthetic process (GO:0019370)	13	2	3.44	-	.58	3.32E-01
tail-anchored membrane protein insertion into ER membrane (GO:0071816)	13	2	3.44	-	.58	3.32E-01
spinal cord association neuron differentiation (GO:0021527)	13	2	3.44	-	.58	3.32E-01
response to tumor cell (GO:0002347)	13	2	3.44	-	.58	3.32E-01
bone resorption (GO:0045453)	26	4	6.88	-	.58	1.84E-01
meiosis II (GO:0007135)	13	2	3.44	-	.58	3.32E-01
mitotic chromosome condensation (GO:0007076)	13	2	3.44	-	.58	3.32E-01
uterus development (GO:0060065)	26	4	6.88	-	.58	1.84E-01
thyroid hormone generation (GO:0006590)	13	2	3.44	-	.58	3.32E-01
regulation of respiratory gaseous exchange by nervous system process (GO:0002087)	13	2	3.44	-	.58	3.32E-01
cellular response to prostaglandin E stimulus (GO:0071380)	13	2	3.44	-	.58	3.32E-01
negative regulation of histone H3-K9 methylation (GO:0051573)	13	2	3.44	-	.58	3.32E-01
protein transport along microtubule (GO:0098840)	13	2	3.44	-	.58	3.32E-01
positive regulation of sequestering of calcium ion (GO:0051284)	13	2	3.44	-	.58	3.32E-01
regulation of nuclease activity (GO:0032069)	26	4	6.88	-	.58	1.84E-01
microtubule-based protein transport (GO:0099118)	13	2	3.44	-	.58	3.32E-01
regulation of autophagy of mitochondrion in response to mitochondrial depolarization (GO:1904923)	13	2	3.44	-	.58	3.32E-01
meiosis II cell cycle process (GO:0061983)	13	2	3.44	-	.58	3.32E-01
auditory behavior (GO:0031223)	13	2	3.44	-	.58	3.32E-01
muscle cell fate commitment (GO:0042693)	13	2	3.44	-	.58	3.32E-01
response to caffeine (GO:0031000)	13	2	3.44	-	.58	3.32E-01
negative regulation of anion transmembrane transport (GO:1903960)	13	2	3.44	-	.58	3.32E-01
positive regulation of keratinocyte proliferation (GO:0010838)	13	2	3.44	-	.58	3.32E-01
positive regulation of macrophage derived foam cell differentiation (GO:0010744)	13	2	3.44	-	.58	3.32E-01
regulation of plasma membrane organization (GO:1903729)	13	2	3.44	-	.58	3.32E-01
cardiac cell fate commitment (GO:0060911)	13	2	3.44	-	.58	3.32E-01
signal transduction involved in regulation of gene expression (GO:0023019)	26	4	6.88	-	.58	1.84E-01
regulation of hypersensitivity (GO:0002883)	13	2	3.44	-	.58	3.32E-01
negative regulation of complement activation (GO:0045916)	13	2	3.44	-	.58	3.32E-01
negative regulation of fatty acid oxidation (GO:0046322)	13	2	3.44	-	.58	3.32E-01
neurotransmitter-gated ion channel clustering (GO:0072578)	13	2	3.44	-	.58	3.32E-01
acute-phase response (GO:0006953)	33	5	8.73	-	.57	1.33E-01
negative regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001240)	33	5	8.73	-	.57	1.33E-01
negative regulation of signal transduction in absence of ligand (GO:1901099)	33	5	8.73	-	.57	1.33E-01
detection of stimulus involved in sensory perception (GO:0050906)	165	25	43.64	-	.57	1.52E-03
hair cell differentiation (GO:0035315)	53	8	14.02	-	.57	6.12E-02
defense response to bacterium (GO:0042742)	273	41	72.21	-	.57	4.16E-05
phenol-containing compound biosynthetic process (GO:0046189)	40	6	10.58	-	.57	9.73E-02
regulation of sister chromatid cohesion (GO:0007063)	20	3	5.29	-	.57	2.26E-01
cell fate determination (GO:0001709)	40	6	10.58	-	.57	9.73E-02
steroid hormone biosynthetic process (GO:0120178)	20	3	5.29	-	.57	2.26E-01
histone exchange (GO:0043486)	20	3	5.29	-	.57	2.26E-01
response to stilbenoid (GO:0035634)	20	3	5.29	-	.57	2.26E-01
epoxygenase P450 pathway (GO:0019373)	27	4	7.14	-	.56	1.60E-01
cell differentiation in spinal cord (GO:0021515)	54	8	14.28	-	.56	5.37E-02
zinc ion homeostasis (GO:0055069)	27	4	7.14	-	.56	1.60E-01
negative regulation of alpha-beta T cell differentiation (GO:0046639)	27	4	7.14	-	.56	1.60E-01
positive regulation of cyclin-dependent protein kinase activity (GO:1904031)	27	4	7.14	-	.56	1.60E-01
ventricular system development (GO:0021591)	34	5	8.99	-	.56	1.16E-01
spinal cord motor neuron differentiation (GO:0021522)	34	5	8.99	-	.56	1.16E-01
regulation of inflammatory response to antigenic stimulus (GO:0002861)	34	5	8.99	-	.56	1.16E-01
regulation of activated T cell proliferation (GO:0046006)	41	6	10.84	-	.55	8.50E-02
humoral immune response (GO:0006959)	185	27	48.93	-	.55	4.32E-04
positive regulation of T cell tolerance induction (GO:0002666)	7	1	1.85	-	.54	4.48E-01
forebrain dorsal/ventral pattern formation (GO:0021798)	7	1	1.85	-	.54	4.48E-01
multi-ciliated epithelial cell differentiation (GO:1903251)	7	1	1.85	-	.54	4.48E-01
toll-like receptor 9 signaling pathway (GO:0034162)	7	1	1.85	-	.54	4.48E-01
negative regulation of antigen processing and presentation (GO:0002578)	7	1	1.85	-	.54	4.48E-01
regulation of antigen processing and presentation (GO:0002577)	21	3	5.55	-	.54	1.95E-01
regulation of ventricular cardiac muscle cell membrane depolarization (GO:0060373)	7	1	1.85	-	.54	4.48E-01
dATP metabolic process (GO:0046060)	7	1	1.85	-	.54	4.48E-01
regulation of maintenance of sister chromatid cohesion (GO:0034091)	7	1	1.85	-	.54	4.48E-01
purine ribonucleoside bisphosphate metabolic process (GO:0034035)	7	1	1.85	-	.54	4.48E-01
positive regulation of regulatory T cell differentiation (GO:0045591)	14	2	3.70	-	.54	2.85E-01
negative regulation of regulatory T cell differentiation (GO:0045590)	7	1	1.85	-	.54	4.48E-01
regulation of caveolin-mediated endocytosis (GO:2001286)	7	1	1.85	-	.54	4.48E-01
meiotic chromosome condensation (GO:0010032)	7	1	1.85	-	.54	4.48E-01
synaptic transmission, dopaminergic (GO:0001963)	14	2	3.70	-	.54	2.85E-01
blood vessel maturation (GO:0001955)	7	1	1.85	-	.54	4.48E-01
ventral spinal cord interneuron differentiation (GO:0021514)	14	2	3.70	-	.54	2.85E-01
spinal cord dorsal/ventral patterning (GO:0021513)	21	3	5.55	-	.54	1.95E-01
positive regulation of neutrophil activation (GO:1902565)	7	1	1.85	-	.54	4.48E-01
adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway (GO:0007197)	7	1	1.85	-	.54	4.48E-01
SMAD protein complex assembly (GO:0007183)	7	1	1.85	-	.54	4.48E-01
mesenchymal cell differentiation involved in kidney development (GO:0072161)	7	1	1.85	-	.54	4.48E-01
synaptonemal complex assembly (GO:0007130)	21	3	5.55	-	.54	1.95E-01
negative regulation of type B pancreatic cell apoptotic process (GO:2000675)	7	1	1.85	-	.54	4.48E-01
serotonin secretion (GO:0001820)	7	1	1.85	-	.54	4.48E-01
regulation of interleukin-1-mediated signaling pathway (GO:2000659)	7	1	1.85	-	.54	4.48E-01
regulation of inositol trisphosphate biosynthetic process (GO:0032960)	7	1	1.85	-	.54	4.48E-01
positive regulation of miRNA metabolic process (GO:2000630)	7	1	1.85	-	.54	4.48E-01
regulation of histone H4-K16 acetylation (GO:2000618)	7	1	1.85	-	.54	4.48E-01
innate immune response activating cell surface receptor signaling pathway (GO:0002220)	7	1	1.85	-	.54	4.48E-01
mesenchymal cell differentiation involved in renal system development (GO:2001012)	7	1	1.85	-	.54	4.48E-01
virion attachment to host cell (GO:0019062)	7	1	1.85	-	.54	4.48E-01
regulation of CD8-positive, alpha-beta T cell proliferation (GO:2000564)	7	1	1.85	-	.54	4.48E-01
positive regulation of T-helper 1 cell cytokine production (GO:2000556)	7	1	1.85	-	.54	4.48E-01
regulation of T-helper 1 cell cytokine production (GO:2000554)	7	1	1.85	-	.54	4.48E-01
positive regulation of gastrulation (GO:2000543)	7	1	1.85	-	.54	4.48E-01
embryonic retina morphogenesis in camera-type eye (GO:0060059)	7	1	1.85	-	.54	4.48E-01
synaptic transmission, glycinergic (GO:0060012)	7	1	1.85	-	.54	4.48E-01
positive regulation of natural killer cell proliferation (GO:0032819)	7	1	1.85	-	.54	4.48E-01
L-phenylalanine catabolic process (GO:0006559)	7	1	1.85	-	.54	4.48E-01
zinc ion import across plasma membrane (GO:0071578)	7	1	1.85	-	.54	4.48E-01
positive regulation of interleukin-18 production (GO:0032741)	7	1	1.85	-	.54	4.48E-01
erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process (GO:1902222)	7	1	1.85	-	.54	4.48E-01
regulation of translational fidelity (GO:0006450)	7	1	1.85	-	.54	4.48E-01
protein depalmitoylation (GO:0002084)	7	1	1.85	-	.54	4.48E-01
regulation of histone H3-K14 acetylation (GO:0071440)	7	1	1.85	-	.54	4.48E-01
regulation of circadian sleep/wake cycle, non-REM sleep (GO:0045188)	14	2	3.70	-	.54	2.85E-01
actin filament reorganization (GO:0090527)	7	1	1.85	-	.54	4.48E-01
regulation of mesoderm development (GO:2000380)	7	1	1.85	-	.54	4.48E-01
adhesion of symbiont to host cell (GO:0044650)	7	1	1.85	-	.54	4.48E-01
positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902177)	7	1	1.85	-	.54	4.48E-01
cellular response to gonadotropin stimulus (GO:0071371)	14	2	3.70	-	.54	2.85E-01
double-strand break repair via synthesis-dependent strand annealing (GO:0045003)	7	1	1.85	-	.54	4.48E-01
myeloid cell apoptotic process (GO:0033028)	7	1	1.85	-	.54	4.48E-01
regulation of cell projection size (GO:0032536)	14	2	3.70	-	.54	2.85E-01
somite rostral/caudal axis specification (GO:0032525)	14	2	3.70	-	.54	2.85E-01
positive regulation of hematopoietic stem cell proliferation (GO:1902035)	7	1	1.85	-	.54	4.48E-01
pointed-end actin filament capping (GO:0051694)	7	1	1.85	-	.54	4.48E-01
cellular response to peptidoglycan (GO:0071224)	7	1	1.85	-	.54	4.48E-01
regulation of DNA demethylation (GO:1901535)	7	1	1.85	-	.54	4.48E-01
regulation of cell proliferation involved in heart morphogenesis (GO:2000136)	21	3	5.55	-	.54	1.95E-01
regulation of somatostatin secretion (GO:0090273)	7	1	1.85	-	.54	4.48E-01
positive regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090267)	7	1	1.85	-	.54	4.48E-01
positive regulation of arachidonic acid secretion (GO:0090238)	7	1	1.85	-	.54	4.48E-01
positive regulation of spindle checkpoint (GO:0090232)	7	1	1.85	-	.54	4.48E-01
negative regulation of lipid kinase activity (GO:0090219)	7	1	1.85	-	.54	4.48E-01
chitin catabolic process (GO:0006032)	7	1	1.85	-	.54	4.48E-01
chitin metabolic process (GO:0006030)	7	1	1.85	-	.54	4.48E-01
negative regulation of cell fate specification (GO:0009996)	7	1	1.85	-	.54	4.48E-01
neurotransmitter receptor transport, postsynaptic endosome to lysosome (GO:0098943)	7	1	1.85	-	.54	4.48E-01
positive regulation of skeletal muscle tissue growth (GO:0048633)	7	1	1.85	-	.54	4.48E-01
regulation of gonadotropin secretion (GO:0032276)	14	2	3.70	-	.54	2.85E-01
positive regulation of ligase activity (GO:0051351)	7	1	1.85	-	.54	4.48E-01
positive regulation of miRNA mediated inhibition of translation (GO:1905618)	7	1	1.85	-	.54	4.48E-01
regulation of miRNA mediated inhibition of translation (GO:1905616)	7	1	1.85	-	.54	4.48E-01
macromolecule depalmitoylation (GO:0098734)	7	1	1.85	-	.54	4.48E-01
neural crest cell migration involved in autonomic nervous system development (GO:1901166)	7	1	1.85	-	.54	4.48E-01
parasympathetic nervous system development (GO:0048486)	21	3	5.55	-	.54	1.95E-01
TRAIL-activated apoptotic signaling pathway (GO:0036462)	7	1	1.85	-	.54	4.48E-01
lens fiber cell morphogenesis (GO:0070309)	7	1	1.85	-	.54	4.48E-01
positive regulation of NK T cell activation (GO:0051135)	7	1	1.85	-	.54	4.48E-01
response to light intensity (GO:0009642)	7	1	1.85	-	.54	4.48E-01
dermatan sulfate proteoglycan metabolic process (GO:0050655)	7	1	1.85	-	.54	4.48E-01
modification of postsynaptic structure (GO:0099010)	14	2	3.70	-	.54	2.85E-01
imitative learning (GO:0098596)	7	1	1.85	-	.54	4.48E-01
nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway (GO:0035872)	7	1	1.85	-	.54	4.48E-01
determination of dorsal/ventral asymmetry (GO:0048262)	7	1	1.85	-	.54	4.48E-01
COPII vesicle coating (GO:0048208)	7	1	1.85	-	.54	4.48E-01
vesicle targeting, rough ER to cis-Golgi (GO:0048207)	7	1	1.85	-	.54	4.48E-01
otic vesicle formation (GO:0030916)	7	1	1.85	-	.54	4.48E-01
protein nitrosylation (GO:0017014)	7	1	1.85	-	.54	4.48E-01
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427)	7	1	1.85	-	.54	4.48E-01
sulfur amino acid transport (GO:0000101)	7	1	1.85	-	.54	4.48E-01
erythrocyte maturation (GO:0043249)	14	2	3.70	-	.54	2.85E-01
germ-line stem cell population maintenance (GO:0030718)	7	1	1.85	-	.54	4.48E-01
cellular response to macrophage colony-stimulating factor stimulus (GO:0036006)	7	1	1.85	-	.54	4.48E-01
response to macrophage colony-stimulating factor (GO:0036005)	7	1	1.85	-	.54	4.48E-01
oxidative DNA demethylation (GO:0035511)	7	1	1.85	-	.54	4.48E-01
negative regulation of histone H3-K9 trimethylation (GO:1900113)	7	1	1.85	-	.54	4.48E-01
protein localization to ciliary transition zone (GO:1904491)	7	1	1.85	-	.54	4.48E-01
histone H3-K4 monomethylation (GO:0097692)	7	1	1.85	-	.54	4.48E-01
histone arginine methylation (GO:0034969)	7	1	1.85	-	.54	4.48E-01
calcitonin family receptor signaling pathway (GO:0097646)	7	1	1.85	-	.54	4.48E-01
gap junction assembly (GO:0016264)	7	1	1.85	-	.54	4.48E-01
AV node cell to bundle of His cell signaling (GO:0086027)	7	1	1.85	-	.54	4.48E-01
AV node cell action potential (GO:0086016)	7	1	1.85	-	.54	4.48E-01
regulation of complement activation (GO:0030449)	21	3	5.55	-	.54	1.95E-01
