




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Neurospora crassa)
Reference List:	neurospora_background.txt (Neurospora crassa)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	neurospora_background.txt - REFLIST (9012)	upload_1 (2982)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
negative regulation of protein localization to chromatin (GO:0120186)	2	0	.66	-	 < 0.01	5.16E-01
positive regulation of chromosome separation (GO:1905820)	8	0	2.65	-	 < 0.01	7.08E-02
meiosis II cell cycle process (GO:0061983)	3	0	.99	-	 < 0.01	3.71E-01
sexual sporulation resulting in formation of a cellular spore (GO:0043935)	7	0	2.32	-	 < 0.01	9.86E-02
peptidyl-pyrromethane cofactor linkage (GO:0018160)	1	0	.33	-	 < 0.01	7.18E-01
positive regulation of chaperone-mediated protein folding (GO:1903646)	1	0	.33	-	 < 0.01	7.18E-01
formin-nucleated actin cable assembly (GO:0070649)	1	0	.33	-	 < 0.01	7.18E-01
regulation of chaperone-mediated protein folding (GO:1903644)	1	0	.33	-	 < 0.01	7.18E-01
mitochondrial respirasome assembly (GO:0097250)	1	0	.33	-	 < 0.01	7.18E-01
meiotic spindle organization (GO:0000212)	1	0	.33	-	 < 0.01	7.18E-01
biological adhesion (GO:0022610)	2	0	.66	-	 < 0.01	5.16E-01
citrulline biosynthetic process (GO:0019240)	3	0	.99	-	 < 0.01	3.71E-01
pyridine nucleoside metabolic process (GO:0070637)	1	0	.33	-	 < 0.01	7.18E-01
regulation of actomyosin contractile ring contraction (GO:0031991)	1	0	.33	-	 < 0.01	7.18E-01
mRNA export from nucleus in response to heat stress (GO:0031990)	1	0	.33	-	 < 0.01	7.18E-01
chromosome attachment to the nuclear envelope (GO:0097240)	2	0	.66	-	 < 0.01	5.16E-01
regulation of protein localization to mitotic spindle pole body (GO:1902542)	1	0	.33	-	 < 0.01	7.18E-01
negative regulation of cellular carbohydrate metabolic process (GO:0010677)	4	0	1.32	-	 < 0.01	2.66E-01
negative regulation of mRNA polyadenylation (GO:1900364)	1	0	.33	-	 < 0.01	7.18E-01
positive regulation of cellular carbohydrate metabolic process (GO:0010676)	1	0	.33	-	 < 0.01	7.18E-01
regulation of mRNA polyadenylation (GO:1900363)	1	0	.33	-	 < 0.01	7.18E-01
mitotic nuclear membrane biogenesis (GO:0101026)	1	0	.33	-	 < 0.01	7.18E-01
nuclear membrane biogenesis (GO:0101025)	1	0	.33	-	 < 0.01	7.18E-01
membrane assembly (GO:0071709)	2	0	.66	-	 < 0.01	5.16E-01
establishment of protein localization to plasma membrane (GO:0061951)	6	0	1.99	-	 < 0.01	1.37E-01
oxazole or thiazole biosynthetic process (GO:0018131)	1	0	.33	-	 < 0.01	7.18E-01
regulation of fungal-type cell wall (1->3)-alpha-glucan biosynthetic process (GO:0070610)	1	0	.33	-	 < 0.01	7.18E-01
regulation of steroid metabolic process (GO:0019218)	1	0	.33	-	 < 0.01	7.18E-01
regulation of fatty acid metabolic process (GO:0019217)	1	0	.33	-	 < 0.01	7.18E-01
cAMP catabolic process (GO:0006198)	1	0	.33	-	 < 0.01	7.18E-01
purine nucleotide catabolic process (GO:0006195)	5	0	1.65	-	 < 0.01	1.91E-01
regulation of fungal-type cell wall (1->3)-alpha-glucan metabolic process (GO:0070609)	1	0	.33	-	 < 0.01	7.18E-01
regulation of cell wall (1->3)-alpha-glucan biosynthetic process (GO:0070608)	1	0	.33	-	 < 0.01	7.18E-01
regulation of cell wall (1->3)-alpha-glucan metabolic process (GO:0070607)	1	0	.33	-	 < 0.01	7.18E-01
regulation of (1->3)-alpha-glucan biosynthetic process (GO:0070606)	1	0	.33	-	 < 0.01	7.18E-01
inosine salvage (GO:0006190)	1	0	.33	-	 < 0.01	7.18E-01
regulation of (1->3)-alpha-glucan metabolic process (GO:0070605)	1	0	.33	-	 < 0.01	7.18E-01
regulation of organelle transport along microtubule (GO:1902513)	1	0	.33	-	 < 0.01	7.18E-01
centromeric sister chromatid cohesion (GO:0070601)	2	0	.66	-	 < 0.01	5.16E-01
fungal-type cell wall (1->3)-alpha-glucan biosynthetic process (GO:0070600)	2	0	.66	-	 < 0.01	5.16E-01
regulation of cell size (GO:0008361)	2	0	.66	-	 < 0.01	5.16E-01
lipid import into cell (GO:0140354)	1	0	.33	-	 < 0.01	7.18E-01
allantoin assimilation pathway (GO:0009442)	1	0	.33	-	 < 0.01	7.18E-01
peptidyl-tyrosine phosphorylation (GO:0018108)	2	0	.66	-	 < 0.01	5.16E-01
peptidyl-threonine phosphorylation (GO:0018107)	8	0	2.65	-	 < 0.01	7.08E-02
peptidyl-histidine phosphorylation (GO:0018106)	1	0	.33	-	 < 0.01	7.18E-01
Rho protein signal transduction (GO:0007266)	2	0	.66	-	 < 0.01	5.16E-01
negative regulation of histone acetylation (GO:0035067)	1	0	.33	-	 < 0.01	7.18E-01
ADP biosynthetic process (GO:0006172)	2	0	.66	-	 < 0.01	5.16E-01
cAMP biosynthetic process (GO:0006171)	1	0	.33	-	 < 0.01	7.18E-01
negative regulation of phosphorylation of RNA polymerase II C-terminal domain (GO:1901408)	1	0	.33	-	 < 0.01	7.18E-01
regulation of phosphorylation of RNA polymerase II C-terminal domain (GO:1901407)	2	0	.66	-	 < 0.01	5.16E-01
negative regulation of transcription by transcription factor localization (GO:0010621)	1	0	.33	-	 < 0.01	7.18E-01
negative regulation of transcription by transcription factor catabolism (GO:0010620)	1	0	.33	-	 < 0.01	7.18E-01
negative regulation of chromatin silencing at telomere (GO:0031939)	2	0	.66	-	 < 0.01	5.16E-01
regulation of chromatin silencing at telomere (GO:0031938)	3	0	.99	-	 < 0.01	3.71E-01
protein-tetrapyrrole linkage (GO:0017006)	2	0	.66	-	 < 0.01	5.16E-01
protein-heme linkage (GO:0017003)	2	0	.66	-	 < 0.01	5.16E-01
termination of RNA polymerase II transcription, exosome-dependent (GO:0030847)	1	0	.33	-	 < 0.01	7.18E-01
termination of RNA polymerase II transcription, poly(A)-coupled (GO:0030846)	1	0	.33	-	 < 0.01	7.18E-01
mitotic telomere clustering and tethering at nuclear periphery (GO:0120109)	1	0	.33	-	 < 0.01	7.18E-01
adenylate cyclase-activating glucose-activated G protein-coupled receptor signaling pathway (GO:0010619)	1	0	.33	-	 < 0.01	7.18E-01
autophagosome-lysosome fusion (GO:0061909)	1	0	.33	-	 < 0.01	7.18E-01
histone mRNA metabolic process (GO:0008334)	1	0	.33	-	 < 0.01	7.18E-01
I-kappaB kinase/NF-kappaB signaling (GO:0007249)	1	0	.33	-	 < 0.01	7.18E-01
regulation of mRNA stability involved in response to stress (GO:0010610)	4	0	1.32	-	 < 0.01	2.66E-01
adenosine catabolic process (GO:0006154)	2	0	.66	-	 < 0.01	5.16E-01
purine nucleoside catabolic process (GO:0006152)	4	0	1.32	-	 < 0.01	2.66E-01
positive regulation of actin filament depolymerization (GO:0030836)	1	0	.33	-	 < 0.01	7.18E-01
regulation of cytoplasmic mRNA processing body assembly (GO:0010603)	1	0	.33	-	 < 0.01	7.18E-01
osmosensory signaling pathway via Sho1 osmosensor (GO:0007232)	1	0	.33	-	 < 0.01	7.18E-01
guanine catabolic process (GO:0006147)	2	0	.66	-	 < 0.01	5.16E-01
regulation of pyrimidine nucleobase metabolic process (GO:0006142)	1	0	.33	-	 < 0.01	7.18E-01
regulation of nucleotide metabolic process (GO:0006140)	2	0	.66	-	 < 0.01	5.16E-01
isoprenoid catabolic process (GO:0008300)	3	0	.99	-	 < 0.01	3.71E-01
mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)	7	0	2.32	-	 < 0.01	9.86E-02
regulation of receptor recycling (GO:0001919)	1	0	.33	-	 < 0.01	7.18E-01
thymine metabolic process (GO:0019859)	2	0	.66	-	 < 0.01	5.16E-01
cytosine metabolic process (GO:0019858)	1	0	.33	-	 < 0.01	7.18E-01
positive regulation of cytosolic calcium ion concentration (GO:0007204)	3	0	.99	-	 < 0.01	3.71E-01
L-ascorbic acid biosynthetic process (GO:0019853)	1	0	.33	-	 < 0.01	7.18E-01
L-ascorbic acid metabolic process (GO:0019852)	1	0	.33	-	 < 0.01	7.18E-01
regulation of gluconeogenesis (GO:0006111)	3	0	.99	-	 < 0.01	3.71E-01
regulation of glycolytic process (GO:0006110)	1	0	.33	-	 < 0.01	7.18E-01
protein localization to cytoskeleton (GO:0044380)	3	0	.99	-	 < 0.01	3.71E-01
fumarate metabolic process (GO:0006106)	2	0	.66	-	 < 0.01	5.16E-01
succinate metabolic process (GO:0006105)	1	0	.33	-	 < 0.01	7.18E-01
citrate metabolic process (GO:0006101)	1	0	.33	-	 < 0.01	7.18E-01
histone deubiquitination (GO:0016578)	3	0	.99	-	 < 0.01	3.71E-01
histone phosphorylation (GO:0016572)	3	0	.99	-	 < 0.01	3.71E-01
protein import into peroxisome matrix, docking (GO:0016560)	5	0	1.65	-	 < 0.01	1.91E-01
apoptotic cell clearance (GO:0043277)	1	0	.33	-	 < 0.01	7.18E-01
positive regulation of phospholipid biosynthetic process (GO:0071073)	2	0	.66	-	 < 0.01	5.16E-01
negative regulation of phospholipid biosynthetic process (GO:0071072)	1	0	.33	-	 < 0.01	7.18E-01
regulation of phospholipid biosynthetic process (GO:0071071)	3	0	.99	-	 < 0.01	3.71E-01
xenobiotic catabolic process (GO:0042178)	3	0	.99	-	 < 0.01	3.71E-01
negative regulation of protein catabolic process (GO:0042177)	1	0	.33	-	 < 0.01	7.18E-01
regulation of sporulation resulting in formation of a cellular spore (GO:0042173)	1	0	.33	-	 < 0.01	7.18E-01
polyphosphate catabolic process (GO:0006798)	2	0	.66	-	 < 0.01	5.16E-01
regulation of carbohydrate biosynthetic process (GO:0043255)	6	0	1.99	-	 < 0.01	1.37E-01
quinolinate biosynthetic process (GO:0019805)	4	0	1.32	-	 < 0.01	2.66E-01
sno(s)RNA polyadenylation (GO:0071050)	1	0	.33	-	 < 0.01	7.18E-01
uroporphyrinogen III biosynthetic process (GO:0006780)	1	0	.33	-	 < 0.01	7.18E-01
negative regulation of meiotic chromosome separation (GO:1905133)	1	0	.33	-	 < 0.01	7.18E-01
regulation of meiotic chromosome separation (GO:1905132)	1	0	.33	-	 < 0.01	7.18E-01
telomere maintenance in response to DNA damage (GO:0043247)	2	0	.66	-	 < 0.01	5.16E-01
nuclear retention of pre-mRNA with aberrant 3'-ends at the site of transcription (GO:0071049)	2	0	.66	-	 < 0.01	5.16E-01
nuclear retention of unspliced pre-mRNA at the site of transcription (GO:0071048)	2	0	.66	-	 < 0.01	5.16E-01
histone mRNA catabolic process (GO:0071044)	1	0	.33	-	 < 0.01	7.18E-01
CUT metabolic process (GO:0071043)	4	0	1.32	-	 < 0.01	2.66E-01
antisense RNA transcript catabolic process (GO:0071041)	1	0	.33	-	 < 0.01	7.18E-01
nuclear polyadenylation-dependent antisense transcript catabolic process (GO:0071040)	1	0	.33	-	 < 0.01	7.18E-01
Mo-molybdopterin cofactor biosynthetic process (GO:0006777)	7	0	2.32	-	 < 0.01	9.86E-02
uroporphyrinogen III metabolic process (GO:0046502)	1	0	.33	-	 < 0.01	7.18E-01
regulation of synaptonemal complex assembly (GO:0090173)	1	0	.33	-	 < 0.01	7.18E-01
nuclear polyadenylation-dependent CUT catabolic process (GO:0071039)	2	0	.66	-	 < 0.01	5.16E-01
nuclear polyadenylation-dependent snRNA catabolic process (GO:0071037)	1	0	.33	-	 < 0.01	7.18E-01
nuclear polyadenylation-dependent snoRNA catabolic process (GO:0071036)	1	0	.33	-	 < 0.01	7.18E-01
negative regulation of antisense RNA transcription (GO:0060195)	1	0	.33	-	 < 0.01	7.18E-01
regulation of antisense RNA transcription (GO:0060194)	1	0	.33	-	 < 0.01	7.18E-01
CUT catabolic process (GO:0071034)	4	0	1.32	-	 < 0.01	2.66E-01
nuclear retention of pre-mRNA at the site of transcription (GO:0071033)	6	0	1.99	-	 < 0.01	1.37E-01
nuclear mRNA surveillance of mRNA 3'-end processing (GO:0071031)	2	0	.66	-	 < 0.01	5.16E-01
nuclear mRNA surveillance of spliceosomal pre-mRNA splicing (GO:0071030)	2	0	.66	-	 < 0.01	5.16E-01
biotin metabolic process (GO:0006768)	1	0	.33	-	 < 0.01	7.18E-01
S-methylmethionine metabolic process (GO:0033477)	1	0	.33	-	 < 0.01	7.18E-01
regulation of protein desumoylation (GO:0060188)	2	0	.66	-	 < 0.01	5.16E-01
meiotic DNA double-strand break formation (GO:0042138)	2	0	.66	-	 < 0.01	5.16E-01
astral microtubule depolymerization (GO:0060172)	1	0	.33	-	 < 0.01	7.18E-01
FAD biosynthetic process (GO:0006747)	1	0	.33	-	 < 0.01	7.18E-01
NADP catabolic process (GO:0006742)	2	0	.66	-	 < 0.01	5.16E-01
mitochondrial membrane fission (GO:0090149)	1	0	.33	-	 < 0.01	7.18E-01
membrane fission (GO:0090148)	8	0	2.65	-	 < 0.01	7.08E-02
regulation of cyclase activity (GO:0031279)	1	0	.33	-	 < 0.01	7.18E-01
NADH regeneration (GO:0006735)	3	0	.99	-	 < 0.01	3.71E-01
triterpenoid metabolic process (GO:0006722)	1	0	.33	-	 < 0.01	7.18E-01
cell wall integrity MAPK cascade (GO:0000196)	1	0	.33	-	 < 0.01	7.18E-01
regulation of cytosolic calcium ion concentration (GO:0051480)	3	0	.99	-	 < 0.01	3.71E-01
mitochondrial unfolded protein response (GO:0034514)	1	0	.33	-	 < 0.01	7.18E-01
positive regulation of anaphase-promoting complex-dependent catabolic process (GO:1905786)	3	0	.99	-	 < 0.01	3.71E-01
regulation of ER to Golgi vesicle-mediated transport by GTP hydrolysis (GO:0090113)	2	0	.66	-	 < 0.01	5.16E-01
regulation of anaphase-promoting complex-dependent catabolic process (GO:1905784)	3	0	.99	-	 < 0.01	3.71E-01
regulation of cell adhesion (GO:0030155)	1	0	.33	-	 < 0.01	7.18E-01
protein localization to chromosome (GO:0034502)	7	0	2.32	-	 < 0.01	9.86E-02
protein localization to kinetochore (GO:0034501)	5	0	1.65	-	 < 0.01	1.91E-01
positive regulation of exonuclease activity (GO:1905779)	2	0	.66	-	 < 0.01	5.16E-01
negative regulation of exonuclease activity (GO:1905778)	1	0	.33	-	 < 0.01	7.18E-01
regulation of exonuclease activity (GO:1905777)	2	0	.66	-	 < 0.01	5.16E-01
molybdopterin cofactor biosynthetic process (GO:0032324)	2	0	.66	-	 < 0.01	5.16E-01
negative regulation of transcription from RNA polymerase II promoter by transcription factor localization involved in response to DNA damage checkpoint signaling (GO:1990260)	1	0	.33	-	 < 0.01	7.18E-01
fungal-type cell wall (1->3)-alpha-glucan metabolic process (GO:0070599)	2	0	.66	-	 < 0.01	5.16E-01
cell wall (1->3)-alpha-glucan biosynthetic process (GO:0070598)	2	0	.66	-	 < 0.01	5.16E-01
cell wall (1->3)-alpha-glucan metabolic process (GO:0070597)	2	0	.66	-	 < 0.01	5.16E-01
(1->3)-alpha-glucan biosynthetic process (GO:0070596)	2	0	.66	-	 < 0.01	5.16E-01
(1->3)-alpha-glucan metabolic process (GO:0070595)	2	0	.66	-	 < 0.01	5.16E-01
5S class rRNA transcription by RNA polymerase III (GO:0042791)	1	0	.33	-	 < 0.01	7.18E-01
ascospore wall biogenesis (GO:0070591)	3	0	.99	-	 < 0.01	3.71E-01
spore wall biogenesis (GO:0070590)	3	0	.99	-	 < 0.01	3.71E-01
monopolar spindle attachment to meiosis I kinetochore (GO:0051455)	1	0	.33	-	 < 0.01	7.18E-01
mRNA transcription by RNA polymerase II (GO:0042789)	1	0	.33	-	 < 0.01	7.18E-01
intrinsic apoptotic signaling pathway (GO:0097193)	1	0	.33	-	 < 0.01	7.18E-01
iron-sulfur cluster transmembrane transport (GO:1902497)	1	0	.33	-	 < 0.01	7.18E-01
tRNA 3'-end processing (GO:0042780)	4	0	1.32	-	 < 0.01	2.66E-01
apoptotic signaling pathway (GO:0097190)	1	0	.33	-	 < 0.01	7.18E-01
negative regulation of meiotic cell cycle (GO:0051447)	2	0	.66	-	 < 0.01	5.16E-01
positive regulation of meiotic cell cycle (GO:0051446)	1	0	.33	-	 < 0.01	7.18E-01
regulation of meiotic cell cycle (GO:0051445)	4	0	1.32	-	 < 0.01	2.66E-01
positive regulation of primary cell septum biogenesis (GO:1905758)	1	0	.33	-	 < 0.01	7.18E-01
regulation of primary cell septum biogenesis (GO:1905756)	1	0	.33	-	 < 0.01	7.18E-01
ATP export (GO:1904669)	1	0	.33	-	 < 0.01	7.18E-01
positive regulation of ubiquitin protein ligase activity (GO:1904668)	3	0	.99	-	 < 0.01	3.71E-01
regulation of ubiquitin protein ligase activity (GO:1904666)	3	0	.99	-	 < 0.01	3.71E-01
negative regulation of ATP metabolic process (GO:1903579)	1	0	.33	-	 < 0.01	7.18E-01
tRNA 3'-trailer cleavage (GO:0042779)	3	0	.99	-	 < 0.01	3.71E-01
regulation of ATP metabolic process (GO:1903578)	1	0	.33	-	 < 0.01	7.18E-01
cellular response to L-arginine (GO:1903577)	1	0	.33	-	 < 0.01	7.18E-01
mitochondrial ATP synthesis coupled proton transport (GO:0042776)	2	0	.66	-	 < 0.01	5.16E-01
response to L-arginine (GO:1903576)	1	0	.33	-	 < 0.01	7.18E-01
cadmium ion transmembrane transport (GO:0070574)	2	0	.66	-	 < 0.01	5.16E-01
regulation of COPII vesicle coating (GO:0003400)	2	0	.66	-	 < 0.01	5.16E-01
nucleosome mobilization (GO:0042766)	3	0	.99	-	 < 0.01	3.71E-01
regulation of sulfur metabolic process (GO:0042762)	3	0	.99	-	 < 0.01	3.71E-01
very long-chain fatty acid catabolic process (GO:0042760)	2	0	.66	-	 < 0.01	5.16E-01
long-chain fatty acid catabolic process (GO:0042758)	1	0	.33	-	 < 0.01	7.18E-01
water homeostasis (GO:0030104)	1	0	.33	-	 < 0.01	7.18E-01
regulation of endocytosis (GO:0030100)	3	0	.99	-	 < 0.01	3.71E-01
protein localization to microtubule end (GO:1905725)	1	0	.33	-	 < 0.01	7.18E-01
regulation of fungal-type cell wall biogenesis (GO:0032995)	2	0	.66	-	 < 0.01	5.16E-01
cytochrome c-heme linkage (GO:0018063)	2	0	.66	-	 < 0.01	5.16E-01
nuclear protein quality control by the ubiquitin-proteasome system (GO:0071630)	2	0	.66	-	 < 0.01	5.16E-01
response to nitrosative stress (GO:0051409)	2	0	.66	-	 < 0.01	5.16E-01
cellular component morphogenesis (GO:0032989)	4	0	1.32	-	 < 0.01	2.66E-01
cytoplasm protein quality control by the ubiquitin-proteasome system (GO:0071629)	1	0	.33	-	 < 0.01	7.18E-01
protein K63-linked deubiquitination (GO:0070536)	2	0	.66	-	 < 0.01	5.16E-01
phosphorylation of RNA polymerase II C-terminal domain serine 5 residues (GO:0071620)	1	0	.33	-	 < 0.01	7.18E-01
protein localization to mitotic spindle pole body (GO:1902440)	2	0	.66	-	 < 0.01	5.16E-01
sulfate assimilation (GO:0000103)	7	0	2.32	-	 < 0.01	9.86E-02
positive regulation of mRNA splicing, via spliceosome (GO:0048026)	1	0	.33	-	 < 0.01	7.18E-01
intracellular mRNA localization (GO:0008298)	8	0	2.65	-	 < 0.01	7.08E-02
positive regulation of DNA-directed DNA polymerase activity (GO:1900264)	1	0	.33	-	 < 0.01	7.18E-01
regulation of DNA-directed DNA polymerase activity (GO:1900262)	1	0	.33	-	 < 0.01	7.18E-01
positive regulation of nuclear cell cycle DNA replication (GO:0010571)	1	0	.33	-	 < 0.01	7.18E-01
phosphatidylinositol-3-phosphate biosynthetic process (GO:0036092)	3	0	.99	-	 < 0.01	3.71E-01
regulation of filamentous growth (GO:0010570)	1	0	.33	-	 < 0.01	7.18E-01
phosphorylation of RNA polymerase II C-terminal domain serine 2 residues (GO:0071619)	2	0	.66	-	 < 0.01	5.16E-01
regulation of ketone biosynthetic process (GO:0010566)	1	0	.33	-	 < 0.01	7.18E-01
D-serine catabolic process (GO:0036088)	1	0	.33	-	 < 0.01	7.18E-01
regulation of cellular ketone metabolic process (GO:0010565)	2	0	.66	-	 < 0.01	5.16E-01
regulation of mitotic division septum assembly (GO:0140279)	1	0	.33	-	 < 0.01	7.18E-01
biofilm formation (GO:0042710)	1	0	.33	-	 < 0.01	7.18E-01
regulation of glycoprotein biosynthetic process (GO:0010559)	1	0	.33	-	 < 0.01	7.18E-01
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	2	0	.66	-	 < 0.01	5.16E-01
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	3	0	.99	-	 < 0.01	3.71E-01
inositol phosphate biosynthetic process (GO:0032958)	4	0	1.32	-	 < 0.01	2.66E-01
peptidyl-lysine trimethylation (GO:0018023)	5	0	1.65	-	 < 0.01	1.91E-01
N-glycan fucosylation (GO:0036071)	1	0	.33	-	 < 0.01	7.18E-01
meiotic DNA double-strand break clipping (GO:1990898)	1	0	.33	-	 < 0.01	7.18E-01
glyoxylate cycle (GO:0006097)	2	0	.66	-	 < 0.01	5.16E-01
calcium ion import (GO:0070509)	3	0	.99	-	 < 0.01	3.71E-01
negative regulation of mitotic cytokinesis (GO:1902413)	1	0	.33	-	 < 0.01	7.18E-01
regulation of mitotic cytokinesis (GO:1902412)	2	0	.66	-	 < 0.01	5.16E-01
regulation of plasma membrane bounded cell projection organization (GO:0120035)	1	0	.33	-	 < 0.01	7.18E-01
regulation of plasma membrane bounded cell projection assembly (GO:0120032)	1	0	.33	-	 < 0.01	7.18E-01
regulation of alpha-glucan biosynthetic process (GO:0032949)	1	0	.33	-	 < 0.01	7.18E-01
fucosylation (GO:0036065)	1	0	.33	-	 < 0.01	7.18E-01
regulation of alpha-glucan metabolic process (GO:0032948)	1	0	.33	-	 < 0.01	7.18E-01
dimethylallyl diphosphate metabolic process (GO:0050993)	1	0	.33	-	 < 0.01	7.18E-01
dimethylallyl diphosphate biosynthetic process (GO:0050992)	1	0	.33	-	 < 0.01	7.18E-01
mitotic cytokinesis, site selection (GO:1902408)	2	0	.66	-	 < 0.01	5.16E-01
substituted mannan metabolic process (GO:0006080)	1	0	.33	-	 < 0.01	7.18E-01
mitotic actomyosin contractile ring contraction (GO:1902404)	1	0	.33	-	 < 0.01	7.18E-01
proton export across plasma membrane (GO:0120029)	1	0	.33	-	 < 0.01	7.18E-01
N-terminal peptidyl-glutamic acid acetylation (GO:0018002)	1	0	.33	-	 < 0.01	7.18E-01
(1->6)-beta-D-glucan biosynthetic process (GO:0006078)	1	0	.33	-	 < 0.01	7.18E-01
protection from non-homologous end joining at telomere (GO:0031848)	2	0	.66	-	 < 0.01	5.16E-01
(1->6)-beta-D-glucan metabolic process (GO:0006077)	1	0	.33	-	 < 0.01	7.18E-01
regulation of transposition (GO:0010528)	1	0	.33	-	 < 0.01	7.18E-01
regulation of transposition, RNA-mediated (GO:0010525)	1	0	.33	-	 < 0.01	7.18E-01
positive regulation of calcium ion transport into cytosol (GO:0010524)	1	0	.33	-	 < 0.01	7.18E-01
regulation of calcium ion transport into cytosol (GO:0010522)	1	0	.33	-	 < 0.01	7.18E-01
cell adhesion (GO:0007155)	2	0	.66	-	 < 0.01	5.16E-01
tRNA dihydrouridine synthesis (GO:0002943)	4	0	1.32	-	 < 0.01	2.66E-01
intermembrane lipid transfer (GO:0120009)	6	0	1.99	-	 < 0.01	1.37E-01
cell morphogenesis involved in conjugation (GO:0000767)	1	0	.33	-	 < 0.01	7.18E-01
regulation of DNA recombination at centromere (GO:0061806)	1	0	.33	-	 < 0.01	7.18E-01
positive regulation of phosphatidylinositol biosynthetic process (GO:0010513)	1	0	.33	-	 < 0.01	7.18E-01
negative regulation of phosphatidylinositol biosynthetic process (GO:0010512)	1	0	.33	-	 < 0.01	7.18E-01
regulation of phosphatidylinositol biosynthetic process (GO:0010511)	2	0	.66	-	 < 0.01	5.16E-01
tRNA N1-guanine methylation (GO:0002939)	1	0	.33	-	 < 0.01	7.18E-01
N-acetylneuraminate metabolic process (GO:0006054)	1	0	.33	-	 < 0.01	7.18E-01
cytogamy (GO:0000755)	4	0	1.32	-	 < 0.01	2.66E-01
cell morphogenesis involved in conjugation with cellular fusion (GO:0000753)	1	0	.33	-	 < 0.01	7.18E-01
