




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	human_background.txt - REFLIST (16250)	upload_1 (1959)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
wybutosine metabolic process (GO:0031590)	2	0	.24	-	 < 0.01	7.86E-01
negative regulation of clathrin-coated pit assembly (GO:1905469)	1	0	.12	-	 < 0.01	8.86E-01
regulation of clathrin-coated pit assembly (GO:1905468)	1	0	.12	-	 < 0.01	8.86E-01
positive regulation of histone H3-K36 methylation (GO:0000416)	3	0	.36	-	 < 0.01	6.96E-01
negative regulation of histone H3-K36 methylation (GO:0000415)	2	0	.24	-	 < 0.01	7.86E-01
negative regulation of DNA duplex unwinding (GO:1905463)	3	0	.36	-	 < 0.01	6.96E-01
regulation of histone H3-K36 methylation (GO:0000414)	6	0	.72	-	 < 0.01	4.85E-01
negative regulation of vascular associated smooth muscle cell apoptotic process (GO:1905460)	2	0	.24	-	 < 0.01	7.86E-01
positive regulation of transcription by galactose (GO:0000411)	1	0	.12	-	 < 0.01	8.86E-01
regulation of translation in response to oxidative stress (GO:0043556)	1	0	.12	-	 < 0.01	8.86E-01
mitochondrial mRNA surveillance (GO:0035946)	1	0	.12	-	 < 0.01	8.86E-01
L-xylitol metabolic process (GO:0051164)	1	0	.12	-	 < 0.01	8.86E-01
mitochondrial ncRNA surveillance (GO:0035945)	1	0	.12	-	 < 0.01	8.86E-01
negative regulation of phosphatidylinositol 3-kinase activity (GO:0043553)	3	0	.36	-	 < 0.01	6.96E-01
L-xylitol catabolic process (GO:0051160)	1	0	.12	-	 < 0.01	8.86E-01
membrane raft distribution (GO:0031580)	5	0	.60	-	 < 0.01	5.47E-01
regulation of transcription by galactose (GO:0000409)	1	0	.12	-	 < 0.01	8.86E-01
negative regulation of myeloid progenitor cell differentiation (GO:1905454)	1	0	.12	-	 < 0.01	8.86E-01
regulation of myeloid progenitor cell differentiation (GO:1905453)	3	0	.36	-	 < 0.01	6.96E-01
inorganic anion import across plasma membrane (GO:0098658)	2	0	.24	-	 < 0.01	7.86E-01
negative regulation of Fc-gamma receptor signaling pathway involved in phagocytosis (GO:1905450)	2	0	.24	-	 < 0.01	7.86E-01
negative regulation of autophagosome maturation (GO:1901097)	5	0	.60	-	 < 0.01	5.47E-01
corticosterone secretion (GO:0035934)	2	0	.24	-	 < 0.01	7.86E-01
glucocorticoid secretion (GO:0035933)	3	0	.36	-	 < 0.01	6.96E-01
aldosterone secretion (GO:0035932)	1	0	.12	-	 < 0.01	8.86E-01
activation of protein kinase C activity (GO:1990051)	5	0	.60	-	 < 0.01	5.47E-01
mineralocorticoid secretion (GO:0035931)	1	0	.12	-	 < 0.01	8.86E-01
membrane raft organization (GO:0031579)	22	0	2.65	-	 < 0.01	7.04E-02
corticosteroid hormone secretion (GO:0035930)	4	0	.48	-	 < 0.01	6.17E-01
positive regulation of mitochondrial ATP synthesis coupled electron transport (GO:1905448)	4	0	.48	-	 < 0.01	6.17E-01
negative regulation of mitochondrial ATP synthesis coupled electron transport (GO:1905447)	2	0	.24	-	 < 0.01	7.86E-01
regulation of mitochondrial ATP synthesis coupled electron transport (GO:1905446)	6	0	.72	-	 < 0.01	4.85E-01
positive regulation of clathrin coat assembly (GO:1905445)	1	0	.12	-	 < 0.01	8.86E-01
regulation of clathrin coat assembly (GO:1905443)	1	0	.12	-	 < 0.01	8.86E-01
steroid hormone secretion (GO:0035929)	6	0	.72	-	 < 0.01	4.85E-01
regulation of actin phosphorylation (GO:0043538)	1	0	.12	-	 < 0.01	8.86E-01
rRNA import into mitochondrion (GO:0035928)	3	0	.36	-	 < 0.01	6.96E-01
indoleacetic acid metabolic process (GO:0009683)	1	0	.12	-	 < 0.01	8.86E-01
RNA import into mitochondrion (GO:0035927)	5	0	.60	-	 < 0.01	5.47E-01
induced systemic resistance (GO:0009682)	1	0	.12	-	 < 0.01	8.86E-01
protein localization to lipid droplet (GO:1990044)	1	0	.12	-	 < 0.01	8.86E-01
positive regulation of NK T cell proliferation (GO:0051142)	4	0	.48	-	 < 0.01	6.17E-01
positive regulation of relaxation of smooth muscle (GO:1901082)	1	0	.12	-	 < 0.01	8.86E-01
negative regulation of NK T cell proliferation (GO:0051141)	1	0	.12	-	 < 0.01	8.86E-01
negative regulation of relaxation of smooth muscle (GO:1901081)	1	0	.12	-	 < 0.01	8.86E-01
foramen ovale closure (GO:0035922)	1	0	.12	-	 < 0.01	8.86E-01
regulation of NK T cell proliferation (GO:0051140)	5	0	.60	-	 < 0.01	5.47E-01
regulation of relaxation of smooth muscle (GO:1901080)	2	0	.24	-	 < 0.01	7.86E-01
desmosome disassembly (GO:0035921)	1	0	.12	-	 < 0.01	8.86E-01
non-canonical Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation (GO:1905438)	2	0	.24	-	 < 0.01	7.86E-01
positive regulation of histone H3-K4 trimethylation (GO:1905437)	1	0	.12	-	 < 0.01	8.86E-01
regulation of histone H3-K4 trimethylation (GO:1905435)	1	0	.12	-	 < 0.01	8.86E-01
cellular response to glycine (GO:1905430)	2	0	.24	-	 < 0.01	7.86E-01
positive regulation of engulfment of apoptotic cell (GO:1901076)	2	0	.24	-	 < 0.01	7.86E-01
positive regulation of NK T cell activation (GO:0051135)	7	0	.84	-	 < 0.01	4.30E-01
calcium ion import into sarcoplasmic reticulum (GO:1990036)	3	0	.36	-	 < 0.01	6.96E-01
negative regulation of NK T cell activation (GO:0051134)	2	0	.24	-	 < 0.01	7.86E-01
regulation of engulfment of apoptotic cell (GO:1901074)	3	0	.36	-	 < 0.01	6.96E-01
pore formation in membrane of other organism (GO:0035915)	2	0	.24	-	 < 0.01	7.86E-01
regulation of NK T cell activation (GO:0051133)	9	0	1.08	-	 < 0.01	3.38E-01
glucosamine-containing compound biosynthetic process (GO:1901073)	2	0	.24	-	 < 0.01	7.86E-01
calcium ion export across plasma membrane (GO:1990034)	5	0	.60	-	 < 0.01	5.47E-01
NK T cell activation (GO:0051132)	2	0	.24	-	 < 0.01	7.86E-01
glucosamine-containing compound catabolic process (GO:1901072)	9	0	1.08	-	 < 0.01	3.38E-01
ascending aorta morphogenesis (GO:0035910)	4	0	.48	-	 < 0.01	6.17E-01
regulation of DNA-templated transcription, termination (GO:0031554)	2	0	.24	-	 < 0.01	7.86E-01
positive regulation of brain-derived neurotrophic factor receptor signaling pathway (GO:0031550)	2	0	.24	-	 < 0.01	7.86E-01
response to glycine (GO:1905429)	3	0	.36	-	 < 0.01	6.96E-01
positive regulation of Wnt-mediated midbrain dopaminergic neuron differentiation (GO:1905426)	2	0	.24	-	 < 0.01	7.86E-01
regulation of Wnt-mediated midbrain dopaminergic neuron differentiation (GO:1905424)	2	0	.24	-	 < 0.01	7.86E-01
trans-Golgi network membrane organization (GO:0098629)	1	0	.12	-	 < 0.01	8.86E-01
regulation of myosin II filament organization (GO:0043519)	1	0	.12	-	 < 0.01	8.86E-01
guanosine-containing compound metabolic process (GO:1901068)	1	0	.12	-	 < 0.01	8.86E-01
vasomotion (GO:1990029)	1	0	.12	-	 < 0.01	8.86E-01
negative regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043518)	13	0	1.57	-	 < 0.01	2.08E-01
descending aorta development (GO:0035906)	1	0	.12	-	 < 0.01	8.86E-01
ascending aorta development (GO:0035905)	5	0	.60	-	 < 0.01	5.47E-01
negative regulation of brain-derived neurotrophic factor receptor signaling pathway (GO:0031549)	1	0	.12	-	 < 0.01	8.86E-01
regulation of brain-derived neurotrophic factor receptor signaling pathway (GO:0031548)	3	0	.36	-	 < 0.01	6.96E-01
brain-derived neurotrophic factor receptor signaling pathway (GO:0031547)	5	0	.60	-	 < 0.01	5.47E-01
negative regulation of dense core granule exocytosis (GO:1905414)	1	0	.12	-	 < 0.01	8.86E-01
sarcosine catabolic process (GO:1901053)	1	0	.12	-	 < 0.01	8.86E-01
sarcosine metabolic process (GO:1901052)	2	0	.24	-	 < 0.01	7.86E-01
negative regulation of creatine transmembrane transporter activity (GO:1905408)	2	0	.24	-	 < 0.01	7.86E-01
regulation of creatine transmembrane transporter activity (GO:1905407)	2	0	.24	-	 < 0.01	7.86E-01
positive regulation of mitotic cohesin loading (GO:1905406)	1	0	.12	-	 < 0.01	8.86E-01
regulation of mitotic cohesin loading (GO:1905405)	1	0	.12	-	 < 0.01	8.86E-01
positive regulation of activated CD8-positive, alpha-beta T cell apoptotic process (GO:1905404)	1	0	.12	-	 < 0.01	8.86E-01
negative regulation of activated CD8-positive, alpha-beta T cell apoptotic process (GO:1905403)	2	0	.24	-	 < 0.01	7.86E-01
regulation of activated CD8-positive, alpha-beta T cell apoptotic process (GO:1905402)	3	0	.36	-	 < 0.01	6.96E-01
response to low light intensity stimulus (GO:0009645)	1	0	.12	-	 < 0.01	8.86E-01
positive regulation of DNA ligation (GO:0051106)	5	0	.60	-	 < 0.01	5.47E-01
regulation of DNA ligation (GO:0051105)	5	0	.60	-	 < 0.01	5.47E-01
DNA ligation involved in DNA recombination (GO:0051102)	1	0	.12	-	 < 0.01	8.86E-01
inhibition of cysteine-type endopeptidase activity involved in apoptotic process (GO:1990001)	2	0	.24	-	 < 0.01	7.86E-01
positive regulation of response to reactive oxygen species (GO:1901033)	5	0	.60	-	 < 0.01	5.47E-01
sarcoplasmic reticulum calcium ion transport (GO:0070296)	12	0	1.45	-	 < 0.01	2.35E-01
negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901029)	9	0	1.08	-	 < 0.01	3.38E-01
renal water absorption (GO:0070295)	3	0	.36	-	 < 0.01	6.96E-01
N-acylphosphatidylethanolamine metabolic process (GO:0070292)	7	0	.84	-	 < 0.01	4.30E-01
cell wall glycoprotein biosynthetic process (GO:0031506)	1	0	.12	-	 < 0.01	8.86E-01
intermediate mesodermal cell differentiation (GO:0048392)	1	0	.12	-	 < 0.01	8.86E-01
intermediate mesoderm formation (GO:0048391)	1	0	.12	-	 < 0.01	8.86E-01
intermediate mesoderm morphogenesis (GO:0048390)	1	0	.12	-	 < 0.01	8.86E-01
response to symbiotic bacterium (GO:0009609)	5	0	.60	-	 < 0.01	5.47E-01
extracellular matrix constituent secretion (GO:0070278)	3	0	.36	-	 < 0.01	6.96E-01
response to symbiont (GO:0009608)	5	0	.60	-	 < 0.01	5.47E-01
positive regulation of leukocyte adhesion to arterial endothelial cell (GO:1904999)	2	0	.24	-	 < 0.01	7.86E-01
negative regulation of leukocyte adhesion to arterial endothelial cell (GO:1904998)	1	0	.12	-	 < 0.01	8.86E-01
regulation of leukocyte adhesion to arterial endothelial cell (GO:1904997)	4	0	.48	-	 < 0.01	6.17E-01
ubiquinone-6 biosynthetic process (GO:1901006)	1	0	.12	-	 < 0.01	8.86E-01
ubiquinone-6 metabolic process (GO:1901004)	1	0	.12	-	 < 0.01	8.86E-01
positive regulation of adenylate cyclase-inhibiting dopamine receptor signaling pathway (GO:1904992)	1	0	.12	-	 < 0.01	8.86E-01
regulation of adenylate cyclase-inhibiting dopamine receptor signaling pathway (GO:1904990)	1	0	.12	-	 < 0.01	8.86E-01
regulation of response to salt stress (GO:1901000)	3	0	.36	-	 < 0.01	6.96E-01
intermediate mesoderm development (GO:0048389)	2	0	.24	-	 < 0.01	7.86E-01
endosomal lumen acidification (GO:0048388)	4	0	.48	-	 < 0.01	6.17E-01
positive regulation of retinoic acid receptor signaling pathway (GO:0048386)	4	0	.48	-	 < 0.01	6.17E-01
oncosis (GO:0070267)	1	0	.12	-	 < 0.01	8.86E-01
negative regulation of quinolinate biosynthetic process (GO:1904985)	1	0	.12	-	 < 0.01	8.86E-01
regulation of quinolinate biosynthetic process (GO:1904984)	1	0	.12	-	 < 0.01	8.86E-01
glycine import into mitochondrion (GO:1904983)	1	0	.12	-	 < 0.01	8.86E-01
positive regulation of endosome organization (GO:1904980)	1	0	.12	-	 < 0.01	8.86E-01
regulation of lateral mesodermal cell fate specification (GO:0048378)	1	0	.12	-	 < 0.01	8.86E-01
lateral mesodermal cell differentiation (GO:0048371)	1	0	.12	-	 < 0.01	8.86E-01
lateral mesoderm formation (GO:0048370)	2	0	.24	-	 < 0.01	7.86E-01
negative regulation of endosome organization (GO:1904979)	1	0	.12	-	 < 0.01	8.86E-01
negative regulation of mucus secretion (GO:0070256)	2	0	.24	-	 < 0.01	7.86E-01
regulation of endosome organization (GO:1904978)	3	0	.36	-	 < 0.01	6.96E-01
lymphatic endothelial cell migration (GO:1904977)	2	0	.24	-	 < 0.01	7.86E-01
mucus secretion (GO:0070254)	4	0	.48	-	 < 0.01	6.17E-01
cellular response to bleomycin (GO:1904976)	2	0	.24	-	 < 0.01	7.86E-01
somatostatin secretion (GO:0070253)	1	0	.12	-	 < 0.01	8.86E-01
response to bleomycin (GO:1904975)	2	0	.24	-	 < 0.01	7.86E-01
lateral mesoderm morphogenesis (GO:0048369)	2	0	.24	-	 < 0.01	7.86E-01
negative regulation of peptidyl-lysine crotonylation (GO:0120094)	1	0	.12	-	 < 0.01	8.86E-01
regulation of natural killer cell apoptotic process (GO:0070247)	1	0	.12	-	 < 0.01	8.86E-01
regulation of peptidyl-lysine crotonylation (GO:0120093)	1	0	.12	-	 < 0.01	8.86E-01
positive regulation of thymocyte apoptotic process (GO:0070245)	5	0	.60	-	 < 0.01	5.47E-01
thymocyte apoptotic process (GO:0070242)	5	0	.60	-	 < 0.01	5.47E-01
positive regulation of activated T cell autonomous cell death (GO:0070241)	1	0	.12	-	 < 0.01	8.86E-01
positive regulation of cytochrome-c oxidase activity (GO:1904960)	3	0	.36	-	 < 0.01	6.96E-01
positive regulation of homocysteine metabolic process (GO:0050668)	1	0	.12	-	 < 0.01	8.86E-01
regulation of homocysteine metabolic process (GO:0050666)	2	0	.24	-	 < 0.01	7.86E-01
paraxial mesoderm structural organization (GO:0048352)	1	0	.12	-	 < 0.01	8.86E-01
regulation of activated T cell autonomous cell death (GO:0070239)	1	0	.12	-	 < 0.01	8.86E-01
regulation of cytochrome-c oxidase activity (GO:1904959)	7	0	.84	-	 < 0.01	4.30E-01
negative regulation of activation-induced cell death of T cells (GO:0070236)	3	0	.36	-	 < 0.01	6.96E-01
positive regulation of midbrain dopaminergic neuron differentiation (GO:1904958)	2	0	.24	-	 < 0.01	7.86E-01
regulation of activation-induced cell death of T cells (GO:0070235)	4	0	.48	-	 < 0.01	6.17E-01
regulation of midbrain dopaminergic neuron differentiation (GO:1904956)	4	0	.48	-	 < 0.01	6.17E-01
planar cell polarity pathway involved in midbrain dopaminergic neuron differentiation (GO:1904955)	1	0	.12	-	 < 0.01	8.86E-01
canonical Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation (GO:1904954)	4	0	.48	-	 < 0.01	6.17E-01
T cell apoptotic process (GO:0070231)	17	0	2.05	-	 < 0.01	1.29E-01
chondroitin sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process (GO:0050653)	2	0	.24	-	 < 0.01	7.86E-01
dermatan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process (GO:0050652)	1	0	.12	-	 < 0.01	8.86E-01
calcitriol biosynthetic process from calciol (GO:0036378)	4	0	.48	-	 < 0.01	6.17E-01
calcium export from the mitochondrion (GO:0099093)	1	0	.12	-	 < 0.01	8.86E-01
lymphocyte apoptotic process (GO:0070227)	21	0	2.53	-	 < 0.01	7.94E-02
positive regulation of pyloric antrum smooth muscle contraction (GO:0120072)	1	0	.12	-	 < 0.01	8.86E-01
regulation of pyloric antrum smooth muscle contraction (GO:0120071)	1	0	.12	-	 < 0.01	8.86E-01
folate import into mitochondrion (GO:1904947)	1	0	.12	-	 < 0.01	8.86E-01
mesoderm structural organization (GO:0048338)	1	0	.12	-	 < 0.01	8.86E-01
axonal transport of messenger ribonucleoprotein complex (GO:0099088)	1	0	.12	-	 < 0.01	8.86E-01
anterograde axonal transport of messenger ribonucleoprotein complex (GO:0099087)	1	0	.12	-	 < 0.01	8.86E-01
transcription factor catabolic process (GO:0036369)	2	0	.24	-	 < 0.01	7.86E-01
light adaption (GO:0036367)	1	0	.12	-	 < 0.01	8.86E-01
postsynaptic specialization organization (GO:0099084)	17	0	2.05	-	 < 0.01	1.29E-01
transforming growth factor beta activation (GO:0036363)	1	0	.12	-	 < 0.01	8.86E-01
planar cell polarity pathway involved in axon guidance (GO:1904938)	3	0	.36	-	 < 0.01	6.96E-01
negative regulation of gastric emptying (GO:0120061)	1	0	.12	-	 < 0.01	8.86E-01
regulation of gastric emptying (GO:0120060)	1	0	.12	-	 < 0.01	8.86E-01
interneuron migration (GO:1904936)	8	0	.96	-	 < 0.01	3.81E-01
positive regulation of cell proliferation in midbrain (GO:1904935)	1	0	.12	-	 < 0.01	8.86E-01
negative regulation of cell proliferation in midbrain (GO:1904934)	1	0	.12	-	 < 0.01	8.86E-01
regulation of cell proliferation in midbrain (GO:1904933)	2	0	.24	-	 < 0.01	7.86E-01
axial mesodermal cell fate specification (GO:0048327)	1	0	.12	-	 < 0.01	8.86E-01
axial mesodermal cell fate commitment (GO:0048322)	1	0	.12	-	 < 0.01	8.86E-01
axial mesodermal cell differentiation (GO:0048321)	1	0	.12	-	 < 0.01	8.86E-01
axial mesoderm formation (GO:0048320)	2	0	.24	-	 < 0.01	7.86E-01
renal potassium excretion (GO:0036359)	2	0	.24	-	 < 0.01	7.86E-01
positive regulation of small intestinal transit (GO:0120058)	2	0	.24	-	 < 0.01	7.86E-01
mitochondrion-derived vesicle mediated transport (GO:0099075)	2	0	.24	-	 < 0.01	7.86E-01
regulation of small intestinal transit (GO:0120057)	2	0	.24	-	 < 0.01	7.86E-01
mitochondrion to lysosome transport (GO:0099074)	2	0	.24	-	 < 0.01	7.86E-01
protein heterotrimerization (GO:0070208)	1	0	.12	-	 < 0.01	8.86E-01
histone H2A-K15 ubiquitination (GO:0036352)	1	0	.12	-	 < 0.01	8.86E-01
histone H2A-K13 ubiquitination (GO:0036351)	1	0	.12	-	 < 0.01	8.86E-01
negative regulation of mitophagy in response to mitochondrial depolarization (GO:1904924)	1	0	.12	-	 < 0.01	8.86E-01
axial mesoderm morphogenesis (GO:0048319)	3	0	.36	-	 < 0.01	6.96E-01
axial mesoderm development (GO:0048318)	6	0	.72	-	 < 0.01	4.85E-01
Golgi inheritance (GO:0048313)	10	0	1.21	-	 < 0.01	2.99E-01
snRNA (adenine-N6)-methylation (GO:0120049)	1	0	.12	-	 < 0.01	8.86E-01
stereocilium maintenance (GO:0120045)	2	0	.24	-	 < 0.01	7.86E-01
psychomotor behavior (GO:0036343)	3	0	.36	-	 < 0.01	6.96E-01
negative regulation of macrophage proliferation (GO:0120042)	1	0	.12	-	 < 0.01	8.86E-01
organelle inheritance (GO:0048308)	10	0	1.21	-	 < 0.01	2.99E-01
positive regulation of isotype switching to IgG isotypes (GO:0048304)	9	0	1.08	-	 < 0.01	3.38E-01
lymphocyte adhesion to endothelial cell of high endothelial venule (GO:0036339)	1	0	.12	-	 < 0.01	8.86E-01
Fas signaling pathway (GO:0036337)	2	0	.24	-	 < 0.01	7.86E-01
intestinal stem cell homeostasis (GO:0036335)	3	0	.36	-	 < 0.01	6.96E-01
hepatocyte homeostasis (GO:0036333)	1	0	.12	-	 < 0.01	8.86E-01
vesicle scission (GO:0099050)	1	0	.12	-	 < 0.01	8.86E-01
negative regulation of maintenance of mitotic sister chromatid cohesion, telomeric (GO:1904908)	2	0	.24	-	 < 0.01	7.86E-01
regulation of maintenance of mitotic sister chromatid cohesion, telomeric (GO:1904907)	2	0	.24	-	 < 0.01	7.86E-01
avascular cornea development in camera-type eye (GO:0036331)	1	0	.12	-	 < 0.01	8.86E-01
positive regulation of endothelial cell-matrix adhesion via fibronectin (GO:1904906)	5	0	.60	-	 < 0.01	5.47E-01
negative regulation of endothelial cell-matrix adhesion via fibronectin (GO:1904905)	1	0	.12	-	 < 0.01	8.86E-01
regulation of endothelial cell-matrix adhesion via fibronectin (GO:1904904)	6	0	.72	-	 < 0.01	4.85E-01
ESCRT III complex disassembly (GO:1904903)	10	0	1.21	-	 < 0.01	2.99E-01
ESCRT III complex assembly (GO:1904902)	1	0	.12	-	 < 0.01	8.86E-01
clearance of foreign intracellular nucleic acids (GO:0099046)	1	0	.12	-	 < 0.01	8.86E-01
vesicle tethering to endoplasmic reticulum (GO:0099044)	2	0	.24	-	 < 0.01	7.86E-01
vascular endothelial growth factor receptor-3 signaling pathway (GO:0036325)	1	0	.12	-	 < 0.01	8.86E-01
vascular endothelial growth factor receptor-2 signaling pathway (GO:0036324)	5	0	.60	-	 < 0.01	5.47E-01
vesicle tethering to Golgi (GO:0099041)	5	0	.60	-	 < 0.01	5.47E-01
vascular endothelial growth factor receptor-1 signaling pathway (GO:0036323)	1	0	.12	-	 < 0.01	8.86E-01
ceramide translocation (GO:0099040)	2	0	.24	-	 < 0.01	7.86E-01
ghrelin secretion (GO:0036321)	1	0	.12	-	 < 0.01	8.86E-01
palmitic acid biosynthetic process (GO:1900535)	1	0	.12	-	 < 0.01	8.86E-01
palmitic acid metabolic process (GO:1900533)	1	0	.12	-	 < 0.01	8.86E-01
SREBP-SCAP complex retention in endoplasmic reticulum (GO:0036316)	2	0	.24	-	 < 0.01	7.86E-01
protein localization to M-band (GO:0036309)	1	0	.12	-	 < 0.01	8.86E-01
embryonic heart tube elongation (GO:0036306)	1	0	.12	-	 < 0.01	8.86E-01
ameloblast differentiation (GO:0036305)	1	0	.12	-	 < 0.01	8.86E-01
vesicle tethering (GO:0099022)	10	0	1.21	-	 < 0.01	2.99E-01
umbilical cord morphogenesis (GO:0036304)	2	0	.24	-	 < 0.01	7.86E-01
mRNA 5'-splice site recognition (GO:0000395)	3	0	.36	-	 < 0.01	6.96E-01
neuronal dense core vesicle exocytosis (GO:0099011)	5	0	.60	-	 < 0.01	5.47E-01
mRNA 3'-splice site recognition (GO:0000389)	6	0	.72	-	 < 0.01	4.85E-01
spliceosome conformational change to release U4 (or U4atac) and U1 (or U11) (GO:0000388)	1	0	.12	-	 < 0.01	8.86E-01
calmodulin dependent kinase signaling pathway (GO:0099004)	4	0	.48	-	 < 0.01	6.17E-01
RNA exon ligation (GO:0000378)	1	0	.12	-	 < 0.01	8.86E-01
parathyroid hormone secretion (GO:0035898)	2	0	.24	-	 < 0.01	7.86E-01
exit from host cell (GO:0035891)	11	0	1.33	-	 < 0.01	2.65E-01
exit from host (GO:0035890)	11	0	1.33	-	 < 0.01	2.65E-01
cis assembly of pre-catalytic spliceosome (GO:0000354)	2	0	.24	-	 < 0.01	7.86E-01
generation of catalytic spliceosome for second transesterification step (GO:0000350)	2	0	.24	-	 < 0.01	7.86E-01
regulation of protein heterodimerization activity (GO:0043497)	1	0	.12	-	 < 0.01	8.86E-01
